Timestamp,Shift,Reactor_Temperature_K,Pressure_kPa,Flow_Rate_Lpm,Feed_Concentration_molL,Conversion_pct
3/2/2026 6:00,Day,352.89,182.5,12.31,2.63,59.78
3/2/2026 6:15,Day,351.75,176.57,12.92,2.33,54.34
3/2/2026 6:30,Day,353.17,175.72,11.93,2.58,55.74
3/2/2026 6:45,Day,354.74,181.93,12.24,2.72,61.52
3/2/2026 7:00,Day,327.62,179.11,12.41,2.13,58.98
3/2/2026 7:15,Day,351.58,182.86,11.76,2.38,58.09
3/2/2026 7:30,Day,354.84,181.89,12.13,2.59,59.74
3/2/2026 7:45,Day,353.38,179.71,12.01,2.47,60.05
3/2/2026 8:00,Day,351.15,176.61,12.06,2.56,57.05
3/2/2026 8:15,Day,352.98,173.94,11.54,2.41,57.1
3/2/2026 8:30,Day,351.17,178.21,12.01,2.51,58.9
3/2/2026 8:45,Day,351.16,183.43,12.3,2.48,55.96
3/2/2026 9:00,Day,352.44,180.86,12.87,2.68,59.87
3/2/2026 9:15,Day,348.56,175.02,12.58,2.54,53.24
3/2/2026 9:30,Day,348.9,180.69,13.29,2.55,60.19
3/2/2026 9:45,Day,350.99,181.54,11.54,,59.53
3/2/2026 10:00,Day,350.18,176.46,12.52,2.43,58.7
3/2/2026 10:15,Day,352.57,180.61,12.11,2.44,61.35
3/2/2026 10:30,Day,350.37,180.23,13.31,2.56,62.29
3/2/2026 10:45,Day,349.46,175.43,11.52,2.44,60.35
3/2/2026 11:00,Day,354.64,181.43,11.5,2.54,55.02
3/2/2026 11:15,Day,351.59,182.24,11.64,2.81,55.36
3/2/2026 11:30,Day,352.12,184.33,10.73,2.63,57.18
3/2/2026 11:45,Day,349.44,184.22,11.68,2.45,57.87
3/2/2026 12:00,Day,351.02,174.49,11.54,2.68,59.65
3/2/2026 12:15,Day,352.2,176.25,12.09,2.44,56.96
3/2/2026 12:30,Day,349.93,182.06,12.21,2.19,58.44
3/2/2026 12:45,Day,352.68,182.06,13.13,2.35,57.05
3/2/2026 13:00,Day,350.92,182.06,12.57,2.22,56.79
3/2/2026 13:15,Day,351.47,195.41,11.65,,55
3/2/2026 13:30,Day,350.92,182.28,11.46,2.5,56.01
3/2/2026 13:45,Day,355.33,184.54,12.3,2.75,56.49
3/2/2026 14:00,Day,351.98,183.82,11.21,2.55,56.25
3/2/2026 14:15,Day,350.1,182.61,13.1,2.47,60.67
3/2/2026 14:30,Day,353.48,178.74,12.71,2.62,56.84
3/2/2026 14:45,Day,349.8,183.04,11.72,2.17,64.51
3/2/2026 15:00,Day,352.38,176.91,10.97,2.54,60.06
3/2/2026 15:15,Day,348.47,179.05,12.81,2.62,57.93
3/2/2026 15:30,Day,349.61,178.06,11.93,2.28,55.72
3/2/2026 15:45,Day,373.52,180.33,12.74,2.67,60.57
3/2/2026 16:00,Day,353.33,189.26,11.04,2.55,57.73
3/2/2026 16:15,Day,352.31,172.53,11.64,2.44,59.11
3/2/2026 16:30,Day,351.79,182.75,,2.59,65.03
3/2/2026 16:45,Day,351.46,173.55,12.03,2.84,58.27
3/2/2026 17:00,Day,349.34,178.11,11.73,2.53,60.64
3/2/2026 17:15,Day,350.7,184.36,12.37,2.54,56.49
3/2/2026 17:30,Day,351.17,180.26,11.36,2.43,58.32
3/2/2026 17:45,Day,353.9,175.69,11.91,2.37,63.79
3/2/2026 18:00,Night,350.62,177.14,12.07,2.62,53.65
3/2/2026 18:15,Night,346.83,,12.31,2.37,58.42
3/2/2026 18:30,Night,350.58,177.08,12.43,2.51,56.97
3/2/2026 18:45,Night,349.31,180.87,11.33,2.43,53.35
3/2/2026 19:00,Night,348.78,180.18,11.08,2.57,56.15
3/2/2026 19:15,Night,351.1,177.39,,2.55,57.82
3/2/2026 19:30,Night,351.86,188.58,12.2,2.66,57.2
3/2/2026 19:45,Night,351.68,182.54,11.55,2.42,51.66
